ledger_type,fiscal_year,description,account_descr,revenue_category,actual_amount,program_descr,fund_type,fund_descr
Revenue,2013,Other Revenue,Auto Emissions Inspection Fees,Licenses Permits and Fees,1647662.28,Non-Budgeted Operating Approp,Enterprise,Enterprise
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1742906,FOMA - Bradley - 48712,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,40147.23,FY16 Recidivism Reduction Gran,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,37500,SBDI,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,22346003.71,Improving Teacher Quality,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Permits to Carry Pistols,Licenses Permits and Fees,3170914,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,40242.08,SPC Hartford PRA:93Hdsn Vw,Special Revenue,Special Revenue
Revenue,2016,Other Source,Operating Transfers Out,Transfers Out,-5003645,Community Investment Account,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Other Licenses-Skilled Trades,Licenses Permits and Fees,275790,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,442568,SSBG Information and Referral,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Grant Transfer Non-Fed-Restr,Non General Fund Revenue,235000,Geospatial Info Sys DESPP,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Licenses-Engin/Land Surv/Arch,Licenses Permits and Fees,63790,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,170687,Epidemiology & Lab Capacity,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,77404.97,ARRA- ELC HEALTHCARE ASSOC INF,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,2437113.27,Readiness Centers,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Apprenticeship Fees,Licenses Permits and Fees,424600,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,99226.85,EPA Brownfields Assesment & Cl,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,10326,Employee Health & Fitness Ctr,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,932698.75,TITLE II PART B Math & Science,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Jury Fees,Licenses Permits and Fees,340,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2016,Other Revenue,Notary Public Registr Licenses,Licenses Permits and Fees,763960,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,8191.96,Interoperable Emergency Commun,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Insurance Licenses,Licenses Permits and Fees,1391054,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,424600,Apprenticeship Reg Fees,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Other Licenses-Prof Srvcs,Licenses Permits and Fees,21956,Revenue Deposits,Transportation,Special Revenue
Revenue,2012,Other Revenue,Fees-Deposit-Domestic Ins Co,Licenses Permits and Fees,40635,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Interior Designer Reg Licenses,Licenses Permits and Fees,45790,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,401434,Harkness MU-MRI,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,80000,JAG - Federal Funds,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Racing/Jai Alai Reg-Licenses,Licenses Permits and Fees,51430,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Examination Fees-Gas,Licenses Permits and Fees,14000,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2016,Other Revenue,Reg-PrmryCaregvr-Med Marijuana,Licenses Permits and Fees,34450,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Photocopying,Licenses Permits and Fees,4801.95,Revenue Deposits,Transportation,Special Revenue
Revenue,2012,Other Revenue,Trapping Rights Licenses,Licenses Permits and Fees,5520,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,150000,Sexual Assault Forensic Analys,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Fees-Land Use Application,Licenses Permits and Fees,1474525,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,2440,Mashamoquet MU-MRI,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Registration-Pesticides Fees,Licenses Permits and Fees,2009398,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,19998,CTHSS NSL Equipment,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,130,Self-Determinations Conference,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,272000.93,Svc for Childn & Yths with ASD,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,9600176,Res Sbstnc Abuse Treatmnt Srvc,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,46417.32,Independent Livng ST Grant,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,2412516,Money Follows the Person,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Service or Process Fees,Licenses Permits and Fees,185764,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,2275605.63,CAPI GO BONDS 2013 A,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,175000,Targeted Assistance Grant,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Insurance Agent Licenses,Licenses Permits and Fees,36239390,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,570796.13,Health Info Counseling Grant,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Fines and Costs-Departments,Licenses Permits and Fees,11864638.71,Revenue Deposits,Transportation,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,102500,Healthcare Cabinet,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Fees-Filing-Satelite Device,Licenses Permits and Fees,300,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,350287,Sup Prog for Shared Populatns,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,410850,Refugee Social Services,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,30345,Raphael & Natalie Schain Fund,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,12807.65,Forfeited Property Sharing,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Farms  Land and Buildings,Licenses Permits and Fees,4637002.14,Revenue Deposits,Transportation,Special Revenue
Revenue,2016,Other Revenue,Racing/Jai Alai Reg-Licenses,Licenses Permits and Fees,37150,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Home Inspector Licenses,Licenses Permits and Fees,82190,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Permit-Deal/Handle Explosives,Licenses Permits and Fees,38130,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,39840.75,Domstc Viol Sanc 15VWJUDSANCTI,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,18758,HSGP 2013,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Fee-Asbestos Alt Work Review,Licenses Permits and Fees,57600,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Other Licenses-Motor Veh/Boat,Licenses Permits and Fees,2195,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,71353302.76,Federal Transit Formual Grants,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Private Employ Agency Reg Fee,Licenses Permits and Fees,22800,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,5000,Linking Evidence and Practice,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,4763813.27,SSBG Home Based Services,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,3174634.05,ARRA-SEP,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,500000,Farm Transition Pgm PA 05228,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Other Licenses-Skilled Trades,Licenses Permits and Fees,207375,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Fees-Filing-Bus/Industry Dev,Licenses Permits and Fees,800,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2013,Other Revenue,Liquor Fees Permits,Licenses Permits and Fees,8703709.74,Revenue Deposits,General,General
Revenue,2012,Other Revenue,Fire Prot Sprinkler Licenses,Licenses Permits and Fees,219655,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,274949,Idea Part B Section 611,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,10466,Osborne Center Donations,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,226301.42,ARRA - State Energy Assurance,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,162599.66,DCF Statewide Headstart Partn,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Licenses-Home Imp Contr/Sales,Licenses Permits and Fees,1231030.57,Non-Budgeted Operating Approp,Fiduciary,Other Trust Funds
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,394726.25,Clean Diesel Grant Program,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,-379849.57,Entitlmnt-Brdly In Arprt FAA01,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,977182.92,Drinkng Water Loan Prog Mngmnt,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,10167,Superfund ST Site-Specifc Coop,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,117525,Local Violent Crime Reduction,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,40750,Chld/Yth w Spec HlthCare Needs,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Fees-Asbestos Abatement-Large,Licenses Permits and Fees,608728.06,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,1433148,HUD Emergency Solutions,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Other Fees-Miscellaneous,Licenses Permits and Fees,7238777.04,Community Investment Account,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,525148.14,Prev Hlth Hlth Srvcs Blck Grnt,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,8450,National Plant Diagnostic Netw,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Fee-Asbestos Alt Work Review,Licenses Permits and Fees,65050,Revenue Deposits,General,General
Revenue,2012,Other Revenue,Non-Ref Filing Permit-New Apps,Licenses Permits and Fees,101815,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,1320,Topsmead MU-MRI,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Fees-Background Checks,Licenses Permits and Fees,2343450.17,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Check Cashing License-Renewal,Licenses Permits and Fees,200,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2016,Other Revenue,License-Renew Money Transmittr,Licenses Permits and Fees,-2875,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2013,Other Revenue,Fees-Stats Info-Bank Exam,Licenses Permits and Fees,2.25,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,15000,Carl D Perkns Voc & Tech,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,263858.37,Beach Monitoring and Notificat,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,486595.95,Cardiovascular Risk Reduction,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Farms Land and Buildings,Rents Fines and Escheats,24292.82,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Grant Transfer Non-Fed-Restr,Non General Fund Revenue,328672,DVA Patriot's Landing SHP,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Fees-Pool Inspections,Licenses Permits and Fees,1400,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Fees-Pool Inspections,Licenses Permits and Fees,3400,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Refunds of Expend-Prior Years,Miscellaneous,21782710,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,2362952.59,RPOM - CT AVCRAD - 482,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,119909,CDBG Small Cities-Admin Tech,Special Revenue,Special Revenue
Revenue,2017,Other Source,Budgeted Transfers In,Transfers In,58100000,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,83160,Expand 'n Grow Ag. Acct.,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,12500,Conn. Food Policy Council PA09,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Mot Pict/Theatre Mngr License,Licenses Permits and Fees,1550,Revenue Deposits,General,General
Revenue,2012,Other Revenue,Fees-Assess/Exam Cred Unions,Licenses Permits and Fees,170658,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2014,Other Revenue,Other Fees-Miscellaneous,Licenses Permits and Fees,1675.5,Siting Council,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Fees-Exam FBO Branch Office,Licenses Permits and Fees,1727972,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,30998,Northern Grapes- viticultue,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,730000,CDBG-DR Planning-Sandy,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,29741.02,SNAP Grant,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Fees-Majority Cards-Liquor,Licenses Permits and Fees,1757098.5,Revenue Deposits,Transportation,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,5561691.06,Brd For St Acad Awrd Op Fund,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,16410,RSAT 14 Grant - State,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,49230,RSAT 14 Grant - Federal,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,30016.02,Monitoring Of Emissions,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,License-Debt Negotiator,Licenses Permits and Fees,6400,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,25000,CEF Reserve Account,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,110212.79,Prohibit Racial Profiling,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,1500000,Bank Compensation Account,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,300000,Norwich State Hospital Sale,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Broker/Dealer Past Due Fees,Licenses Permits and Fees,5130,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2017,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,13280.25,Domstc Viol Sanc 15VWJUDSANCTI,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,5336.51,Survey for EAB,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,774799.45,Consolidated Forestry Programs,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,69930.38,Mgt of Chronic Wasting Disease,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Well Drilling Permits,Licenses Permits and Fees,10445,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,589990.61,Tuberculosis Elimination and L,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,36697.75,Neighborhood Stabilization Prg,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Room Occupancy Licenses,Licenses Permits and Fees,1850,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1598318.89,SSBG Other Services,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,412128.55,Pub Wrks Cap Proj Rvlvng Fund,Capital Projects,Capital Projects
Revenue,2012,Other Revenue,Sale of Property,Licenses Permits and Fees,3704671.33,Revenue Deposits,Transportation,Special Revenue
Revenue,2014,Other Revenue,Fee-Child Support Enforce Srvc,Licenses Permits and Fees,114765,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,52550.2,IV-D Access & Visitation,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Permits to Carry Pistols,Licenses Permits and Fees,2211990,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Fees-Asbestos Abatement-Small,Licenses Permits and Fees,110300,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,3105127.86,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Utility Subsidy Int Income,Investment Income,739250.63,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Licenses-MV Dealers/Repairers,Licenses Permits and Fees,1286041.26,Revenue Deposits,Transportation,Special Revenue
Revenue,2017,Other Revenue,Cigarette Distributor Licenses,Licenses Permits and Fees,99750,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Fees-Commercial Recording,Licenses Permits and Fees,24312096.54,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,178636,Career and Technical Education,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,20000,HUD EVALUATION,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,50000,Conn. Grown Food PA 05228,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,2882254,Pre Trial Account,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,483256.14,Demo Integ Care Dual Elig Indv,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,License-Game Birds/Quadrupeds,Licenses Permits and Fees,1906,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,983554,SCAAP - USDOJ/BJA Grant,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,79285.52,IV-D Access & Visitation,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,20000,2012 State Fire Training Syste,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Broker/Dealer Past Due Fees,Licenses Permits and Fees,64757.79,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,3319582.65,HIV Care Formula Grant,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,25000,Environmental Health Assessmnt,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,300631.12,Remediation Clean-Up Account,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Steamfitter Licenses,Licenses Permits and Fees,1620749,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Comm Assc Mngr-Real Estate Lic,Licenses Permits and Fees,72926,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,52000,Access & Visitation Prog FFY16,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Child Day Care Center Licenses,Licenses Permits and Fees,448130,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,241387.22,Superfund Remedial,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,230904.5,Housng Opportunits-Persns/Aids,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Other Fees-Legal & Court Srvcs,Licenses Permits and Fees,339796.5,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,641818.82,Forensic Casework DNA Backlog,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,490000,DOB-MORTGAGE FORECLOSURE,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,318744,WIC Fresh Produce,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Fees-Stats Info-Bank Exam,Licenses Permits and Fees,7,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2013,Other Revenue,Laboratory Licensure,Licenses Permits and Fees,143450,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Drug Licenses,Licenses Permits and Fees,1369049,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,9875,Jury Instructional Video Proj,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,261529.05,Special School Milk,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Agent of Issuer Renewal,Licenses Permits and Fees,2000,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2013,Other Revenue,ESCHEATS - MUTUAL FUND SALES,Rents Fines and Escheats,4036574.74,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,15500,SHOPP,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,197164.09,Aquatic Weed Management,Special Revenue,Special Revenue
Revenue,2016,Other Source,Operating Transfers Out,Transfers Out,-14301,Correctional Gen Welfare Fund,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,7480,Sleeping Giant MU-MRI,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Pool Plan Review Fees-Resub,Licenses Permits and Fees,2350,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Other Fees-Insp Srvcs-General,Licenses Permits and Fees,394210,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Witness Fees,Licenses Permits and Fees,40,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,7000000,SECOND INJURY FUND ADMIN,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,328283,FHWA Bradly Airprt Roadwy Impr,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Special Vehicle Permits,Licenses Permits and Fees,2527190.1,Revenue Deposits,Transportation,Special Revenue
Revenue,2017,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,7500,WIC Special Project - DPH,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,10605,United We Stand,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Agent of Issuer Renewal,Licenses Permits and Fees,2300,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,2282912.9,Family Presrvtn & Supp Srvcs,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,162000,Avain Influenza Acct.,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,16467024.14,Hwy. Planning & Constr. SPR,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,33281,State Approving Agency Admin,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Water Compliance Permits,Licenses Permits and Fees,5523250.54,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,210071.36,SPC BOS-Manchester TRA:HsgAuth,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Fee-Subsurface Sewage Plan-Sm,Licenses Permits and Fees,1400,Revenue Deposits,General,General
Revenue,2012,Other Revenue,Pilotage Commission-CT Waters,Licenses Permits and Fees,72777.27,Revenue Deposits,Transportation,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,21820.75,National Death Index Statistic,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Other Refunds,Refunds of Payments,-1068086.19,Refunds of Assessments & Fees,Other Budgeted,Special Revenue
Revenue,2014,Other Revenue,Other Fees-App/Exam/Qual,Licenses Permits and Fees,30376841.25,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,22792,Mile-A-Minute Weed Program,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Refunds of Expend-Prior Years,Licenses Permits and Fees,3368489.99,Revenue Deposits,Transportation,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,289963,SSBG Hispanic Case Mngmnt,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,157360.82,Port Security Grant Program,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,6000,Summer Law Intern,Special Revenue,Special Revenue
